name,year,genre
Mallsoleum,(1995),"<span class=""genre"">
Short            </span>"
Just for the Ride,(1995),"<span class=""genre"">
Documentary            </span>"
Don Henley: The Garden of Allah,(1995 Video),"<span class=""genre"">
Short, Music            </span>"
Cybernet,(1995–2008),"<span class=""genre"">
Talk-Show            </span>"
"Boys & Girls Are Different: Men, Women & the Sex Difference",(1995 TV Movie),"<span class=""genre"">
Documentary            </span>"
Raindrops Keep Falling on My Bed,(1995–1998),"<span class=""genre"">
Animation, Short, Adventure            </span>"
Daphne's Room,(1993–2004),"<span class=""genre"">
Comedy            </span>"
End Game,(1993–2018),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Colony,(1993–2018),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
731,(1993–2018),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
The Alien Costume: Part 1,(1994–1998),"<span class=""genre"">
Animation, Action, Adventure            </span>"
Hitwoman,(1995– ),"<span class=""genre"">
Action, Crime, Drama            </span>"
Who's Scooping Who,(1993–1998),"<span class=""genre"">
Comedy            </span>"
The Shake Up,(1993–1998),"<span class=""genre"">
Comedy            </span>"
Mommy Not Dearest,(1993–1998),"<span class=""genre"">
Comedy            </span>"
Legend on His President's Secret Service,(1995),"<span class=""genre"">
Comedy, Sci-Fi, Western            </span>"
The One Where Rachel Finds Out,(1994–2004),"<span class=""genre"">
Comedy, Romance            </span>"
An Affair to Forget,(1993–2004),"<span class=""genre"">
Comedy            </span>"
The Mickey Mouse Club Story,(1995 TV Special),"<span class=""genre"">
Documentary, Family            </span>"
High Code,(1994–2001),"<span class=""genre"">
Animation, Action, Adventure            </span>"
Some Enchanted Evening: Celebrating Oscar Hammerstein II,(1971– ),"<span class=""genre"">
Music            </span>"
Lucifer's Child,(1995 TV Movie),"<span class=""genre"">
Biography, Drama            </span>"
Rap City,(1995),"<span class=""genre"">
Music            </span>"
Rock and Roll Hall of Fame Induction Ceremony,(1995 TV Special),"<span class=""genre"">
Music            </span>"
The Fourth Thursday in November,(1995–1998),"<span class=""genre"">
Animation, Short, Adventure            </span>"
A Fish Called Pepper,(1995–1998),"<span class=""genre"">
Animation, Short, Adventure            </span>"
Episode dated 2 August 1995,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Ghosts of Gettysburg 2,(1995 TV Movie),"<span class=""genre"">
Documentary            </span>"
Secret Admirer,(1992–1997),"<span class=""genre"">
Comedy, Family, Music            </span>"
Screaming Fields of Sonic Love,(1995 Video),"<span class=""genre"">
Music            </span>"
1995 World Series,(1995 Video),"<span class=""genre"">
Documentary, Sport            </span>"
Bart Sells His Soul,(1989– ),"<span class=""genre"">
Animation, Comedy            </span>"
Lemon of Troy,(1989– ),"<span class=""genre"">
Animation, Comedy            </span>"
And Maggie Makes Three,(1989– ),"<span class=""genre"">
Animation, Comedy            </span>"
The Blessing Way,(1993–2018),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
The Fusilli Jerry,(1989–1998),"<span class=""genre"">
Comedy            </span>"
The Ballad of D.B. Cooper,(1992–1997),"<span class=""genre"">
Action, Adventure, Crime            </span>"
The Wedding,(1994–2000),"<span class=""genre"">
Drama, Family            </span>"
Close Shave,(1993–1999),"<span class=""genre"">
Comedy, Family, Romance            </span>"
Postmortem Madness,(1992–1999),"<span class=""genre"">
Drama, Romance            </span>"
The Romantic Weekend,(1992–1997),"<span class=""genre"">
Comedy, Drama, Romance            </span>"
The Great Train Robbery,(1995– ),"<span class=""genre"">
Action, Crime, Drama            </span>"
Grab the Money and Run,(1995– ),"<span class=""genre"">
Action, Crime, Drama            </span>"
Buy Hard,(1995– ),"<span class=""genre"">
Action, Crime, Drama            </span>"
Clueless in San Francisco,(1995),"<span class=""genre"">
Comedy, Sci-Fi, Western            </span>"
The Plague,(1994–1995),"<span class=""genre"">
Adventure            </span>"
Earl Makes the Grade,(1995–2000),"<span class=""genre"">
Comedy, Sport            </span>"
The One with All the Poker,(1994–2004),"<span class=""genre"">
Comedy, Romance            </span>"
Victoria's Secret: Part 1,(1994–1999),"<span class=""genre"">
Adventure, Comedy, Crime            </span>"
Miss Sarajevo,(1995 TV Short),"<span class=""genre"">
Documentary, Short            </span>"
Anvil of Dawn,(1995 Video Game),"<span class=""genre"">
Fantasy            </span>"
Lizzie Borden Hash & Rehash,(1995),"<span class=""genre"">
Crime, Documentary, Short            </span>"
Tesla: Time's Makin' Changes - The Videos & More,(1995 Video),"<span class=""genre"">
Documentary, Music            </span>"
Julie Andrews: Back on Broadway,(1971– ),"<span class=""genre"">
Music            </span>"
Alice in Chains: The Nona Tapes,(1995 Video),"<span class=""genre"">
Short, Comedy, Music            </span>"
Three Decades of James Bond 007,(1995 Video),"<span class=""genre"">
Documentary, Short            </span>"
"Stevie Ray Vaughan & Double Trouble: Live from Austin, Texas",(1995 Video),"<span class=""genre"">
Music            </span>"
Women of the Night IV,(1995 TV Special),"<span class=""genre"">
Comedy            </span>"
Reel Wild Cinema,(1995– ),"<span class=""genre"">
Fantasy, Horror, Mystery            </span>"
Mail Bonding,(1995),"<span class=""genre"">
Short            </span>"
Marsalis on Music,(1995),"<span class=""genre"">
Music            </span>"
Wing Commander IV: The Price of Freedom,(1995 Video Game),"<span class=""genre"">
Action, Adventure, Sci-Fi            </span>"
Jeff Buckley: Last Goodbye,(1995 Video),"<span class=""genre"">
Short, Music            </span>"
"MTV: The State, Skits and Stickers",(1995 Video),"<span class=""genre"">
Comedy            </span>"
Tyrian,(1995 Video Game),"<span class=""genre"">
Action            </span>"
Things That Aren't Here Anymore,(1995 TV Movie),"<span class=""genre"">
Documentary            </span>"
Dad Gets Canned,(1995–1998),"<span class=""genre"">
Animation, Short, Adventure            </span>"
Comics Come Home,(1995 TV Movie),"<span class=""genre"">
Comedy            </span>"
Sci-Fi Buzz,(1995– ),"<span class=""genre"">
News            </span>"
The Little Wooden Boy and the Belly of Love,(1994–1997),"<span class=""genre"">
Animation, Action, Adventure            </span>"
Bart's Comet,(1989– ),"<span class=""genre"">
Animation, Comedy            </span>"
Nisei,(1993–2018),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Humbug,(1993–2018),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Improbable Cause,(1993–1999),"<span class=""genre"">
Action, Adventure, Drama            </span>"
The Wink,(1989–1998),"<span class=""genre"">
Comedy            </span>"
The Label Maker,(1989–1998),"<span class=""genre"">
Comedy            </span>"
The Hot Tub,(1989–1998),"<span class=""genre"">
Comedy            </span>"
The Gum,(1989–1998),"<span class=""genre"">
Comedy            </span>"
The Engagement,(1989–1998),"<span class=""genre"">
Comedy            </span>"
Protection,(1995– ),"<span class=""genre"">
Action, Crime, Drama            </span>"
Singing the Blues,(1993–1998),"<span class=""genre"">
Comedy            </span>"
Play Ball,(1993–1998),"<span class=""genre"">
Comedy            </span>"
Mr. Pratt Goes to Sheridan,(1995),"<span class=""genre"">
Comedy, Sci-Fi, Western            </span>"
Custer's Next to Last Stand,(1995),"<span class=""genre"">
Comedy, Sci-Fi, Western            </span>"
Colors,(1993–1999),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
The One with the Boobies,(1994–2004),"<span class=""genre"">
Comedy, Romance            </span>"
The One with the Birth,(1994–2004),"<span class=""genre"">
Comedy, Romance            </span>"
Vault,(1994–1999),"<span class=""genre"">
Adventure, Comedy, Crime            </span>"
The Deal,(1994–1999),"<span class=""genre"">
Adventure, Comedy, Crime            </span>"
Fallen Idol,(1992–1997),"<span class=""genre"">
Comedy, Family, Music            </span>"
The Show Formerly Known as the Martin Short Show,(1995 TV Special),"<span class=""genre"">
Comedy            </span>"
Statuary,(1995),"<span class=""genre"">
Short            </span>"
The World's Greatest Magic 2,(1995 TV Special),"<span class=""genre"">
Family, Fantasy            </span>"
Caliente,(1995–2006),"<span class=""genre"">
Music            </span>"
Simon Boccanegra,(1977– ),"<span class=""genre"">
Music            </span>"
Pfish and Chip in Short Pfuse,(1995 TV Short),"<span class=""genre"">
Animation, Short, Comedy            </span>"
Fantasy: Mariah Carey at Madison Square Garden,(1995 TV Special),"<span class=""genre"">
Documentary, Music            </span>"
People's Century: 1900-1999,(1995– ),"<span class=""genre"">
Documentary            </span>"
Dust: A Tale of the Wired West,(1995 Video Game),"<span class=""genre"">
Action, Adventure, Fantasy            </span>"
The Unbearable Whiteness of Dean,(1995),"<span class=""genre"">
Short, Action, Comedy            </span>"
Full Throttle,(1995 Video Game),"<span class=""genre"">
Action, Adventure, Crime            </span>"
In the Spotlight: Mary Chapin Carpenter,(1995 TV Special),"<span class=""genre"">
Music            </span>"
Michael Jackson: Video Greatest Hits - HIStory,(1995 Video),"<span class=""genre"">
Music            </span>"
What About Your Friends,(1984–1996),"<span class=""genre"">
Adventure, Comedy, Drama            </span>"
Queen: Champions of the World,(1995),"<span class=""genre"">
Documentary, Music            </span>"
When Billy Broke His Head... and Other Tales of Wonder,(1995),"<span class=""genre"">
Documentary, Biography            </span>"
Mi Puerto Rico,(1995),"<span class=""genre"">
Documentary, Family, Music            </span>"
The Gate of Heavenly Peace,(1983– ),"<span class=""genre"">
Documentary            </span>"
From Danger to Dignity,(1995),"<span class=""genre"">
Documentary            </span>"
Michael Jackson: HIStory Teaser,(1995 Video),"<span class=""genre"">
Short, Music            </span>"
Bob Ross: A Special Tribute,(1995),"<span class=""genre"">
Short, Family            </span>"
Tracks of My Deers,(1995–1998),"<span class=""genre"">
Animation, Short, Adventure            </span>"
"Pains, Grains, and Allergy Shots",(1995–1998),"<span class=""genre"">
Animation, Short, Adventure            </span>"
Bus Trip,(1993–2011),"<span class=""genre"">
Animation, Comedy, Music            </span>"
The Tick vs. Arthur's Bank Account,(1994–1997),"<span class=""genre"">
Animation, Action, Adventure            </span>"
1995 Young Comedians Special,(1995 TV Special),"<span class=""genre"">
Comedy            </span>"
Alone Together,(1994–1997),"<span class=""genre"">
Animation, Action, Adventure            </span>"
Little Green Men,(1993–1999),"<span class=""genre"">
Action, Adventure, Drama            </span>"
Mother Simpson,(1989– ),"<span class=""genre"">
Animation, Comedy            </span>"
Homie the Clown,(1989– ),"<span class=""genre"">
Animation, Comedy            </span>"
Absolute Zero (Pilot),(1995–1996),"<span class=""genre"">
Action, Drama, Mystery            </span>"
The Quest,(1990–1995),"<span class=""genre"">
Comedy, Drama            </span>"
Smoking,(1995–1999),"<span class=""genre"">
Comedy, Romance            </span>"
Strange Bedfellows,(1993–1999),"<span class=""genre"">
Comedy, Family, Romance            </span>"
Episode #1.8,(1995–2016),"<span class=""genre"">
Comedy, Reality-TV, Talk-Show            </span>"
Come Back Little Diva,(1993–1998),"<span class=""genre"">
Comedy            </span>"
Skeletons in the Closet,(1995),"<span class=""genre"">
Comedy, Sci-Fi, Western            </span>"
Revenge of the Herd,(1995),"<span class=""genre"">
Comedy, Sci-Fi, Western            </span>"
Knee-High Noon,(1995),"<span class=""genre"">
Comedy, Sci-Fi, Western            </span>"
The Bachelor Pad,(1995–2000),"<span class=""genre"">
Comedy, Sport            </span>"
The One with the Baby on the Bus,(1994–2004),"<span class=""genre"">
Comedy, Romance            </span>"
Letting Go,(1994–1999),"<span class=""genre"">
Adventure, Comedy, Crime            </span>"
A Hawk and a Handsaw,(1994–1999),"<span class=""genre"">
Adventure, Comedy, Crime            </span>"
Tiffani's Gold,(1992–1997),"<span class=""genre"">
Comedy, Family, Music            </span>"
The Firm: Total Body - Body Sculpting Basics,(1995 Video),"<span class=""genre"">
Sport            </span>"
Incredible Suckers,(1995),"<span class=""genre"">
Documentary            </span>"
The Real Deal,(1995 TV Movie),"<span class=""genre"">
Comedy            </span>"
Pavarotti: My World,(1971– ),"<span class=""genre"">
Music            </span>"
Lightdance,(1995 Video),"<span class=""genre"">
Documentary, Short            </span>"
Warcraft II: Tides of Darkness,(1995 Video Game),"<span class=""genre"">
Fantasy            </span>"
Treehouse of Horror VI,(1989– ),"<span class=""genre"">
Animation, Comedy            </span>"
John Denver: The Wildlife Concert,(1995 TV Special),"<span class=""genre"">
Documentary, Music            </span>"
Ranger!,(1995),"<span class=""genre"">
Short            </span>"
"I Have No Mouth, and I Must Scream",(1995 Video Game),"<span class=""genre"">
Adventure, Horror, Sci-Fi            </span>"
The Revolutionary War,(1995– ),"<span class=""genre"">
Documentary, History, War            </span>"
Battlefield,(1995– ),"<span class=""genre"">
Documentary, History, War            </span>"
Se7en,(1995),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
A Litany for Survival: The Life and Work of Audre Lorde,(1995),"<span class=""genre"">
Documentary            </span>"
Jane: An Abortion Service,(1995),"<span class=""genre"">
Documentary            </span>"
Before You Go,(1995),"<span class=""genre"">
Documentary            </span>"
August Roads,(1995),"<span class=""genre"">
Short, Drama            </span>"
Hard Hat Harry,(1995–1996),"<span class=""genre"">
Family            </span>"
Breakout,(1995–1997),"<span class=""genre"">
Animation, Family            </span>"
Faye's 12 Days of Christmas (Short),(1995 Video),"<span class=""genre"">
Short, Comedy, Family            </span>"
Faith,(1993–1996),"<span class=""genre"">
Comedy            </span>"
Bart vs. Australia,(1989– ),"<span class=""genre"">
Animation, Comedy            </span>"
Ants in Pants!,(1994–1997),"<span class=""genre"">
Animation, Action, Adventure            </span>"
Neogenic Nightmare Chapter 4: The Mutant Agenda,(1994–1998),"<span class=""genre"">
Animation, Action, Adventure            </span>"
Neogenic Nightmare Chapter 1: The Insidious Six,(1994–1998),"<span class=""genre"">
Animation, Action, Adventure            </span>"
Lisa the Vegetarian,(1989– ),"<span class=""genre"">
Animation, Comedy            </span>"
A Star Is Burns,(1989– ),"<span class=""genre"">
Animation, Comedy            </span>"
The Secret Code,(1989–1998),"<span class=""genre"">
Comedy            </span>"
The Pool Guy,(1989–1998),"<span class=""genre"">
Comedy            </span>"
The Face Painter,(1989–1998),"<span class=""genre"">
Comedy            </span>"
The Return of Gus Pike,(1990–1996),"<span class=""genre"">
Drama, Adventure, Family            </span>"
Bette Davis,(1990–2005),"<span class=""genre"">
Documentary, Biography            </span>"
Episode dated 3 April 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Episode dated 2 April 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Episode dated 15 April 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Episode dated 11 January 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Episode dated 1 March 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Episode dated 29 February 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Episode dated 3 January 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Episode dated 4 January 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
To Bob or Not to Bob,(1995– ),"<span class=""genre"">
Comedy            </span>"
Severed Dreams,(1993–1998),"<span class=""genre"">
Action, Adventure, Drama            </span>"
Desert,(1996),"<span class=""genre"">
Short            </span>"
Episode dated 26 February 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Z'ha'dum,(1993–1998),"<span class=""genre"">
Action, Adventure, Drama            </span>"
Pilot,(1996–1999),"<span class=""genre"">
Drama            </span>"
Lynette Jennings Design,(1996–2000),"<span class=""genre"">
Talk-Show            </span>"
Episode dated 20 February 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Kidnapped by UFOs? The True Story of Alien Abductions,(1974– ),"<span class=""genre"">
Documentary            </span>"
Trials and Tribble-ations,(1993–1999),"<span class=""genre"">
Action, Adventure, Drama            </span>"
A Death in the Family,(1993–2005),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
The One with the Prom Video,(1994–2004),"<span class=""genre"">
Comedy, Romance            </span>"
War Without End: Part Two,(1993–1998),"<span class=""genre"">
Action, Adventure, Drama            </span>"
Core,(1996 Video),
Così fan tutte,(1977– ),"<span class=""genre"">
Music            </span>"
"Playboy: Playmate Profile Video Collection Featuring Miss January 1997, 1994, 1991, 1988",(1996 Video),"<span class=""genre"">
Documentary            </span>"
James Levine Gala,(1977– ),"<span class=""genre"">
Music            </span>"
A Hard Death,(1996 Video),
Episode dated 30 April 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Harriet Tubman,(1991–2005),"<span class=""genre"">
Animation            </span>"
Episode #1.7033,(1968–2013),"<span class=""genre"">
Drama, Romance            </span>"
All Pro Sports: Brett Favre,(1996 Video),"<span class=""genre"">
Short, Sport            </span>"
New York City Opera: The Merry Widow,(1976– ),"<span class=""genre"">
Music, Musical            </span>"
Dakota Exile,(1996 TV Movie),
1996 Miss North American Pageant,(1996 TV Special),
Children in America's Schools with Bill Moyers,(1996 TV Movie),"<span class=""genre"">
Documentary            </span>"
Decisive Moments: The Photographs That Made History,(1996– ),"<span class=""genre"">
Documentary            </span>"
Garbage,(1996),"<span class=""genre"">
Documentary            </span>"
Pure Bliss,(1996),"<span class=""genre"">
Short, Drama            </span>"
The Elephants of India with Goldie Hawn,(1992– ),"<span class=""genre"">
Documentary            </span>"
Musings of a Cigarette Smoking Man,(1993–2018),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
You Only Move Twice,(1989– ),"<span class=""genre"">
Animation, Comedy            </span>"
The Bizarro Jerry,(1989–1998),"<span class=""genre"">
Comedy            </span>"
The Homecoming: Part 2,(1996–1999),"<span class=""genre"">
Drama            </span>"
The Masked Chess Boy,(1995–1998),"<span class=""genre"">
Animation, Short, Adventure            </span>"
Arnold's Christmas,(1996–2004),"<span class=""genre"">
Animation, Comedy, Drama            </span>"
War Without End: Part One,(1993–1998),"<span class=""genre"">
Action, Adventure, Drama            </span>"
Point of No Return,(1993–1998),"<span class=""genre"">
Action, Adventure, Drama            </span>"
R.E.M.: New Adventures in Hi-Fi Stereophonic on Film,(1996 Video),"<span class=""genre"">
Documentary, Short            </span>"
Chicano! History of the Mexican-American Civil Rights Movement,(1996 TV Movie),"<span class=""genre"">
Documentary            </span>"
Blinded by the Blood: Behind the Scenes of 'Killing Spree',(1996 Video),"<span class=""genre"">
Documentary            </span>"
Titanic: Adventure Out of Time,(1996 Video Game),"<span class=""genre"">
Action, Adventure, Mystery            </span>"
Joseph Potts,(1996),
Pilot,(1996–1997),"<span class=""genre"">
Crime, Drama, Romance            </span>"
Backstage at the 1996 Miss North America Pageant,(1996 TV Movie),"<span class=""genre"">
Documentary            </span>"
Roofless People,(1995–1998),"<span class=""genre"">
Animation, Short, Adventure            </span>"
Episode dated 7 October 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Hooked,(1996 Video),"<span class=""genre"">
Short            </span>"
The World's Greatest Magic 3,(1996 TV Special),"<span class=""genre"">
Family, Fantasy            </span>"
Of Earth and Sky,(1996),"<span class=""genre"">
Drama            </span>"
The Chicken Roaster,(1989–1998),"<span class=""genre"">
Comedy            </span>"
The Abstinence,(1989–1998),"<span class=""genre"">
Comedy            </span>"
Tibby or Not Tibby,(1993–1998),"<span class=""genre"">
Comedy            </span>"
Do You Take This Man's Wallet?,(1993–1998),"<span class=""genre"">
Comedy            </span>"
The One with the Flashback,(1994–2004),"<span class=""genre"">
Comedy, Romance            </span>"
The Two Mrs. Cranes,(1993–2004),"<span class=""genre"">
Comedy            </span>"
Moon Dance,(1993–2004),"<span class=""genre"">
Comedy            </span>"
Writer's Block,(I) (1996),"<span class=""genre"">
Short, Comedy            </span>"
GWAR: The Return of Techno Destructo,(1996 Video),"<span class=""genre"">
Music            </span>"
The Philippines,(1996 TV Movie),"<span class=""genre"">
Documentary            </span>"
Alice in Chains,(1989– ),"<span class=""genre"">
Documentary, Music            </span>"
"Peter, Paul and Mary: Lifelines",(1971– ),"<span class=""genre"">
Music            </span>"
Letting Go: A Hospice Journey,(1996),"<span class=""genre"">
Documentary            </span>"
The Neverhood,(1996 Video Game),"<span class=""genre"">
Adventure, Comedy, Mystery            </span>"
Super Mario 64,(1996 Video Game),"<span class=""genre"">
Animation, Action, Adventure            </span>"
Born a Rambler Man,(1995–1998),"<span class=""genre"">
Animation, Short, Adventure            </span>"
Episode dated 20 September 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Episode dated 1 August 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Episode dated 21 May 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Episode dated 25 April 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
The Tree Ghost,(1996 Video),"<span class=""genre"">
Short            </span>"
Dead Drunk,(1996 Video),"<span class=""genre"">
Short            </span>"
Jose Chung's 'From Outer Space',(1993–2018),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Home,(1993–2018),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Sins of the Fathers Chapter 11: Carnage,(1994–1998),"<span class=""genre"">
Animation, Action, Adventure            </span>"
Sins of the Fathers Chapter 10: Venom Returns,(1994–1998),"<span class=""genre"">
Animation, Action, Adventure            </span>"
The Rye,(1989–1998),"<span class=""genre"">
Comedy            </span>"
The Little Kicks,(1989–1998),"<span class=""genre"">
Comedy            </span>"
The Engagement: Part 1,(1993–1998),"<span class=""genre"">
Comedy            </span>"
Riot on the Set,(1993–1998),"<span class=""genre"">
Comedy            </span>"
The One with the Two Parties,(1994–2004),"<span class=""genre"">
Comedy, Romance            </span>"
The One with the Football,(1994–2004),"<span class=""genre"">
Comedy, Romance            </span>"
The One Where No One's Ready,(1994–2004),"<span class=""genre"">
Comedy, Romance            </span>"
"I, Done: Part 2",(1990–1996),"<span class=""genre"">
Comedy            </span>"
The Dr. Susan Block Show,(1996– ),"<span class=""genre"">
Talk-Show            </span>"
Blind Melon's Letters from a Porcupine,(1996 Video),"<span class=""genre"">
Music            </span>"
The Firm: Total Body - Complete Aerobic Weight Training,(1996 Video),
Middletown,(1996),
The Pandora Directive,(1996 Video Game),"<span class=""genre"">
Action, Adventure, Comedy            </span>"
The Beast Within: A Gabriel Knight Mystery,(1996 Video Game),"<span class=""genre"">
Adventure, Drama, Horror            </span>"
The Big One: The Truth About the San Andreas,(1996 TV Movie),"<span class=""genre"">
Documentary            </span>"
By No Means,(1996 Video),"<span class=""genre"">
Short            </span>"
The Last Gig,(1992–1997),"<span class=""genre"">
Comedy, Family, Music            </span>"
Homer the Smithers,(1989– ),"<span class=""genre"">
Animation, Comedy            </span>"
"No Fair, You're Dead",(1996),"<span class=""genre"">
Short, Comedy            </span>"
Paper Hearts,(1993–2018),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Sins of the Fathers Chapter 14: The Turning Point,(1994–1998),"<span class=""genre"">
Animation, Action, Adventure            </span>"
22 Short Films About Springfield,(1989– ),"<span class=""genre"">
Animation, Comedy            </span>"
The Calzone,(1989–1998),"<span class=""genre"">
Comedy            </span>"
The Secret,(1996–1999),"<span class=""genre"">
Drama            </span>"
Dear John,(1993–1998),"<span class=""genre"">
Comedy            </span>"
Compromising Positions,(1993–1998),"<span class=""genre"">
Comedy            </span>"
Spelling Bee/Pigeon Man,(1996–2004),"<span class=""genre"">
Animation, Comedy, Drama            </span>"
Redeeming Jimmy,(1993–1998),"<span class=""genre"">
Comedy, Romance            </span>"
The One Where Ross and Rachel... You Know,(1994–2004),"<span class=""genre"">
Comedy, Romance            </span>"
Blood Covenant,(1996–1997),"<span class=""genre"">
Fantasy, Sci-Fi, Thriller            </span>"
Interludes and Examinations,(1993–1998),"<span class=""genre"">
Action, Adventure, Drama            </span>"
311: Enlarged to Show Detail,(1996 Video),"<span class=""genre"">
Documentary, Music            </span>"
Cactus Jack Invades ECW,(1996 Video),"<span class=""genre"">
Action            </span>"
Master of Orion II: Battle at Antares,(1996 Video Game),"<span class=""genre"">
Sci-Fi            </span>"
Jacques Pepin's Kitchen: Cooking with Claudine,(1996– ),
Farewell: Live from the Universal Amphitheatre Halloween 1995,(1996 Video),"<span class=""genre"">
Documentary, Music            </span>"
'Weird Al' Yankovic: There's No Going Home,(1996 TV Special),"<span class=""genre"">
Comedy, Music            </span>"
"Makaveli Feat. Danny Boy, Aaron Hall, K-Ci & JoJo: Toss It Up",(1996 Video),"<span class=""genre"">
Short, Music            </span>"
Nollen and Jacobsen: Live at Glenfiddich House,(1996 Video),"<span class=""genre"">
Music            </span>"
National Geographic: The Last Feast of the Crocodiles,(1996 TV Movie),"<span class=""genre"">
Documentary            </span>"
1995 NFC Championship Game,(1996 TV Special),"<span class=""genre"">
Sport            </span>"
Captured,(1995–1997),"<span class=""genre"">
Animation, Family            </span>"
"Ready, Aim, Fire",(1995–1997),"<span class=""genre"">
Animation, Family            </span>"
Episode dated 4 October 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Episode dated 17 September 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Episode dated 19 July 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Episode dated 27 June 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Episode dated 27 May 1996,(1970–2011),"<span class=""genre"">
Drama, Romance, Mystery            </span>"
Undesignated Driver,(1996 Video),"<span class=""genre"">
Short            </span>"
Trigger Happy,(1996 Video),"<span class=""genre"">
Short            </span>"
Touchy Situation,(1996 Video),"<span class=""genre"">
Short            </span>"
The One After the Superbowl: Part 2,(1994–2004),"<span class=""genre"">
Comedy, Romance            </span>"
War of the Coprophages,(1993–2018),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
Apocrypha,(1993–2018),"<span class=""genre"">
Crime, Drama, Mystery            </span>"
The Sky Is Falling,(1994–2003),"<span class=""genre"">
Drama, Family, Fantasy            </span>"
Hurricane Neddy,(1989– ),"<span class=""genre"">
Animation, Comedy            </span>"
The Invitations,(1989–1998),"<span class=""genre"">
Comedy            </span>"
The Bottle Deposit,(1989–1998),"<span class=""genre"">
Comedy            </span>"
Little Girl Lost,(1996–1999),"<span class=""genre"">
Drama            </span>"
Hakeem Owes Moesha Big,(1996–2001),"<span class=""genre"">
Comedy, Drama, Family            </span>"
Moi the Jury,(1993–1998),"<span class=""genre"">
Comedy            </span>"
Caddy on a Hot Tin Roof,(1995–1998),"<span class=""genre"">
Animation, Short, Adventure            </span>"
Short Cuts,(1995–2000),"<span class=""genre"">
Comedy, Sport            </span>"
Just One of the Guys,(1995–2000),"<span class=""genre"">
Comedy, Sport            </span>"
Grace and Sailor Bob,(1993–1998),"<span class=""genre"">
Comedy, Romance            </span>"
Mixed Doubles,(1993–2004),"<span class=""genre"">
Comedy            </span>"
Eye of the Dragon,(1996–1998),"<span class=""genre"">
Action, Crime, Drama            </span>"
Graduation Day,(1992–1997),"<span class=""genre"">
Comedy, Family, Music            </span>"
Messages from Earth,(1993–1998),"<span class=""genre"">
Action, Adventure, Drama            </span>"
A Tuna Christmas,(1996 TV Movie),"<span class=""genre"">
Comedy            </span>"
Connie Gomper & the Pack,(1996 Video),
Welles and Hearst,(1996 TV Movie),"<span class=""genre"">
Documentary, Biography            </span>"
Otello,(1977– ),"<span class=""genre"">
Music            </span>"
Forensic Files,(1996–2011),"<span class=""genre"">
Documentary, Crime            </span>"
Civilization II,(1996 Video Game),"<span class=""genre"">
Action, Adventure            </span>"
Personal Belongings,(1996),"<span class=""genre"">
Documentary            </span>"
A Work in Progress,(1996 Video),
T.R.: The Story of Theodore Roosevelt (Part I),(1988– ),"<span class=""genre"">
Documentary, Biography, History            </span>"
Annie Lennox... In the Park,(1996 TV Special),"<span class=""genre"">
Music            </span>"
Memphis PD: War on the Streets,(1996 TV Movie),"<span class=""genre"">
Documentary            </span>"
